1, hopo:oak_mineshaft, HEADING, header:ignore, 0, 0, 0
2, florcraft:arid_shrine, HEADING, header:ignore, 0, 0, 0
3, nova_structures:well_dark_oak, HEADING, header:ignore, 0, 0, 0
4, awesomedungeonend:end_pill, HEADING, header:ignore, 0, 0, 0
5, red:abandoned_house, HEADING, header:ignore, 0, 0, 0
6, red:abandoned_house, MONSTER, minecraft:witch, 5, 2, 3
7, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
8, nova_structures:ruin_town, HEADING, header:ignore, 0, 0, 0
9, nova_structures:ruin_town, MONSTER, minecraft:zombie, 5, 1, 16
10, explorify:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
11, awesomedungeonnether:nth_accum_quad, HEADING, header:ignore, 0, 0, 0
12, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
13, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 1
14, survivalexpansion:magicdungeon, HEADING, header:ignore, 0, 0, 0
15, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
16, hopo:stone_mineshaft, HEADING, header:ignore, 0, 0, 0
17, awesomedungeon:jungle_giant_tree, HEADING, header:ignore, 0, 0, 0
18, survivalexpansion:floor, HEADING, header:ignore, 0, 0, 0
19, explorify:watchtower_plains, HEADING, header:ignore, 0, 0, 0
20, red:birch_deforestation, HEADING, header:ignore, 0, 0, 0
21, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
22, nova_structures:firewatch_tower_mangrove, HEADING, header:ignore, 0, 0, 0
23, survivalexpansion:crimtree1, HEADING, header:ignore, 0, 0, 0
24, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
25, minecraft:swamp_hut, MONSTER, minecraft:witch, 5, 1, 1
26, minecraft:swamp_hut, CREATURE, minecraft:cat, 5, 1, 1
27, explorify:mausoleum, HEADING, header:ignore, 0, 0, 0
28, hopo:underwater_ruins, HEADING, header:ignore, 0, 0, 0
29, forgero:medium_smithing_house_deepslate, HEADING, header:ignore, 0, 0, 0
30, survivalexpansion:crimtree4, HEADING, header:ignore, 0, 0, 0
31, awesomedungeonocean:ocean_ruin_vanilla_temple, HEADING, header:ignore, 0, 0, 0
32, awesomedungeon:mushroom_abandonned, HEADING, header:ignore, 0, 0, 0
33, red:plains_oracle, HEADING, header:ignore, 0, 0, 0
34, awesomedungeon:witch_castle, HEADING, header:ignore, 0, 0, 0
35, hopo:portal_nether, HEADING, header:ignore, 0, 0, 0
36, red:forest_deforestation, HEADING, header:ignore, 0, 0, 0
37, minecraft:nether_keep, HEADING, header:ignore, 0, 0, 0
38, minecraft:nether_keep, MONSTER, minecraft:blaze, 10, 6, 16
39, minecraft:nether_keep, MONSTER, minecraft:wither_skeleton, 8, 15, 32
40, minecraft:nether_keep, MONSTER, minecraft:skeleton, 20, 15, 26
41, minecraft:nether_keep, MONSTER, minecraft:magma_cube, 30, 4, 4
42, awesomedungeonocean:ocean_quad, HEADING, header:ignore, 0, 0, 0
43, red:swamp_pillager, HEADING, header:ignore, 0, 0, 0
44, awesomedungeonend:end_pyramid, HEADING, header:ignore, 0, 0, 0
45, nova_structures:badlands_miner_outpost, HEADING, header:ignore, 0, 0, 0
46, nova_structures:badlands_miner_outpost, MONSTER, minecraft:pillager, 5, 1, 16
47, nova_structures:mangrove_witch_hut, HEADING, header:ignore, 0, 0, 0
48, nova_structures:mangrove_witch_hut, MONSTER, minecraft:witch, 5, 1, 1
49, nova_structures:mangrove_witch_hut, CREATURE, minecraft:cat, 5, 1, 1
50, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
51, nova_structures:tavern_spruce, HEADING, header:ignore, 0, 0, 0
52, nova_structures:illager_hideout, HEADING, header:ignore, 0, 0, 0
53, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
54, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
55, nova_structures:tavern_desert, HEADING, header:ignore, 0, 0, 0
